구분,항목,자산(*)(IFRS)(천원),자산(*)(IFRS)(천원),유동자산(*)(IFRS)(천원),유동자산(*)(IFRS)(천원),유동부채(*)(IFRS)(천원),유동부채(*)(IFRS)(천원),이익잉여금(결손금)(*)(IFRS)(천원),이익잉여금(결손금)(*)(IFRS)(천원),매출액(수익)(*)(IFRS)(천원),매출액(수익)(*)(IFRS)(천원),매출원가(*)(IFRS)(천원),매출원가(*)(IFRS)(천원),판매비와 관리비(물류원가 등 포함)(*)(IFRS)(천원),판매비와 관리비(물류원가 등 포함)(*)(IFRS)(천원),자본(*)(IFRS)(천원),자본(*)(IFRS)(천원),부채(*)(IFRS)(천원),부채(*)(IFRS)(천원),당기순이익(손실)(IFRS)(천원),당기순이익(손실)(IFRS)(천원),영업활동으로 인한 현금흐름(간접법)(*)(IFRS)(천원),영업활동으로 인한 현금흐름(간접법)(*)(IFRS)(천원),부채비율(IFRS),부채비율(IFRS),유동비율(IFRS),유동비율(IFRS),* 발행한 주식총수(*)(IFRS)(천원),* 발행한 주식총수(*)(IFRS)(천원)
,년도,2019,2020,2019,2020,2019,2020,2019,2020,2019,2020,2019,2020,2019,2020,2019,2020,2019,2020,2019,2020,2019,2020,2019,2020,2019,2020,2019,2020
회사명,거래소코드,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount
(주)BNK금융지주,138930,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)DB하이텍,000990,1089400761,1179256936,422531166,455642916,219572033,261727435,374009785,523345080,807416423,935919766,513292637,577034944,112967914,119696018,645305205,795236817,444095557,384020119,121159865,165657642,160796839,310467238,68.82,48.29,192.43,174.09,44511167,44511167
(주)KB금융지주,105560,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)강원랜드,035250,4436461953,3635973900,1868365557,1486092360,650507914,328578630,3656181144,3182492118,1517612252,477474858,734363002,544368814,280523986,363985953,3718433001,3244743975,718028952,391229925,335609508,-278763195,408994810,-657703238,19.31,12.06,287.22,452.28,213940500,213940500
(주)남선알미늄,008350,292559970,276931596,128507223,121119160,73017831,63647494,116764357,114468594,324782177,268474786,289895888,249346330,23293395,20549219,176357497,174061734,116202473,102869862,8338512,-2461919,27827235,-8945995,65.89,59.1,175.99,190.3,110486980,110486980
(주)녹십자,006280,1742374171,1862558929,797143326,952356067,341251023,506203140,704889247,755296850,1146093542,1227760622,836424682,869306982,267807744,316430000,1049297612,1100182016,693076559,762376913,11840904,53297023,42703292,48966925,66.05,69.3,233.59,188.14,11686538,11686538
(주)녹십자홀딩스,005250,928991658,1080663927,18671023,123525000,221841119,383126676,503534407,538629617,63553295,78784539,0,0,36058856,37471246,596000707,630811694,332990951,449852233,28053008,50375737,34191330,46977995,55.87,71.31,8.42,32.24,49543070,49543070
(주)농심,004370,2496940454,2494167664,750893974,701908304,516795186,444662503,1836791703,1903661826,1905694049,2105700159,1409083926,1546382070,447262864,468952196,1916385075,1982640374,580555380,511527290,56271705,92786550,133040489,183667171,30.29,25.8,145.3,157.85,6082642,6082642
(주)대우건설,047040,8734473025,8399269137,5354031501,5165732282,4631807220,4557268656,-103050115,109194685,8091938554,7637255921,7470788795,6848328834,464996768,411839826,2174777239,2370155015,6559695786,6029114122,7779954,176906546,-445751241,268136889,301.63,254.38,115.59,113.35,415622638,415622638
(주)대웅,003090,348607411,371342389,59008281,51102075,6300721,8527757,178613680,220213882,49225217,87608403,0,0,37214452,39809301,330462054,350402527,18145357,20939861,6320466,45918663,10425174,41514852,5.49,5.98,936.53,599.24,58141980,58141980
(주)대웅제약,069620,1099982039,1186735400,383673677,374877424,232512231,291287497,474771215,471717444,1005179736,944751591,591552500,554719366,382179962,377405863,552996822,576033889,546985217,610701511,20228348,3138751,37986057,98363540,98.91,106.02,165.01,128.7,11586575,11586575
(주)대한항공,003490,25758375652,24747289887,3303525817,3717781254,7679640509,7833503552,-69595048,-230640438,12291667990,7405005608,10750961988,6542352228,1254319555,624318430,2818433173,3369421808,22939942479,21377868079,-568732636,-194631399,2300694250,1440584330,813.93,634.47,43.02,47.46,95955428,175320507
(주)더블유게임즈,192080,692039878,742191677,104311333,124202281,31076740,32665427,334546687,461560899,200271921,238873234,0,0,121880887,143181323,647154267,699547638,44885612,42644039,110292805,132915746,74643390,85560323,6.94,6.1,335.66,380.23,18260502,18374502
(주)동서,026960,1456823841,1503228153,707747364,727576866,48555780,48678764,1227729270,1275262569,441898585,441093215,374804288,373891016,41342419,33453741,1337828530,1381734152,118995310,121494000,136936403,116866234,123217348,75519799,8.89,8.79,1457.6,1494.65,99700000,99700000
(주)동원에프앤비,049770,1159056111,1237519545,452920909,479583631,286381261,195650885,460008185,501256618,1709299492,1781268266,1201309797,1253468053,437333254,443289112,575957439,615545588,583098672,621973958,44075973,52825805,79518848,105267853,101.24,101.04,158.15,245.12,3859124,3859124
(주)두산,000150,4752375845,5413828678,921194928,1259204613,1705580503,1648873982,2169246958,2847844795,2060705340,1549335936,1633647975,1210486635,265135503,229982809,2144652664,2653306337,2607723181,2760522341,633803582,180219915,142453384,-251731958,121.59,104.04,54.01,76.37,21413335,21413335
(주)락앤락,115390,669021285,645506636,131262703,106837776,37924991,43982678,259031315,225765850,203177827,213217340,127795756,130353627,92632048,94155546,592018379,566598382,77002906,78908254,16048808,-10201386,644770,45114579,13.01,13.93,346.11,242.91,54186600,53007638
(주)만도,204320,2806053322,3166718893,877869111,1074633998,856777982,1096825741,357273213,339866859,3323374073,3009765572,2837548254,2678765491,340903333,341675700,953930689,1107669035,1852122633,2059049858,85989917,20679047,-8337474,286669982,194.16,185.89,102.46,97.98,46957120,46957120
(주)비지에프리테일,282330,2114202246,2308304394,722518247,805009294,934735106,981318994,256384890,334482301,5943404080,6167808904,4889095577,5110630362,858864775,893514306,593593344,671458861,1520608903,1636845533,149768379,125895224,531212667,502425017,256.17,243.77,77.3,82.03,17283906,17283906
(주)빙그레,005180,677017157,713759535,391782301,265902101,93124139,101168075,474543054,501269791,857206874,907529455,638020904,670867388,177403864,194296986,564827940,589788467,112189217,123971068,39718950,40702482,58962931,78821819,19.86,21.02,420.71,262.83,9851241,9851241
(주)삼양사,145990,1820281506,1998093566,615294857,694106822,295246127,312376333,188660755,218530578,1550801257,1524770095,1286124171,1256161141,243576200,227951893,1054845303,1095489758,765436203,902603808,17107917,40327703,83290952,118951238,72.56,82.39,208.4,222.2,10659873,10683519
(주)삼양홀딩스,000070,1607953228,1709356850,305050343,374177135,12936307,36741617,1064775446,1123165536,58119701,114140468,4027620,3889844,34355090,34005268,1386566900,1462289265,221386328,247067584,20586944,74155260,22720089,38855146,15.97,16.9,2358.09,1018.4,8868329,8868329
(주)셀트리온,068270,3708567680,4808699737,1612955253,2295458369,517564389,900571681,2114638598,2616077814,981870269,1689786997,413929010,740794793,208023653,245688593,2904711978,3448862395,803855701,1359837342,286281193,507799528,447415032,319161648,27.67,39.43,311.64,254.89,128337853,134997805
(주)신세계,004170,7265903911,7535083634,401089345,480403034,1433868253,1977024027,2792045874,2979029878,1557606955,1459802056,284751905,292887599,1050759270,1040113679,3771201711,3606292228,3494702200,3928791406,705956105,214085442,308597072,268000818,92.67,108.94,27.97,24.3,9845181,9845181
(주)신세계인터내셔날,031430,1011909930,1059874930,362161699,366931069,267377463,278519610,373240982,425511972,1282444400,1211404312,533245308,533276852,662482157,637383490,525854119,578452939,486055812,481421991,61140336,61610520,105486856,93051663,92.43,83.23,135.45,131.74,7140000,7140000
(주)신한금융지주회사,055550,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)아모레퍼시픽,090430,4950233655,4897611155,1363248695,1389842162,407790973,343685510,3728972263,3772263786,3913830166,3016950983,1165353569,999436136,2308003987,1858739595,4375433772,4418418516,574799883,479192640,329297061,104437154,471437112,327676633,13.14,10.85,334.3,404.39,69016320,69016320
(주)아모레퍼시픽그룹,002790,2038709896,2001905919,569166584,413442693,16240887,21042537,1221903516,1180145475,153702106,52397913,0,0,28624966,21564333,1987827031,1945970039,50882866,55935880,118327675,-10934651,130614469,32163030,2.56,2.87,3504.53,1964.79,95994150,95994150
(주)에스원,012750,1751616977,1849485638,691060522,742800460,357658875,382452249,1258110858,1303955855,2120328700,2189076458,1576990099,1643176164,353040713,352863899,1318704692,1364933545,432912285,484552094,141011143,132929645,275716923,333140287,32.83,35.5,193.22,194.22,37999178,37999178
(주)에스피씨삼립,005610,954761884,945638158,219126651,208818248,297978433,401876587,297850047,279832701,1186835435,1265460902,903963405,955064352,234982871,265690465,316214626,298281132,638547258,647357026,32567347,-10401063,73669453,99430039,201.93,217.03,73.54,51.96,8629009,8629009
(주)에프앤에프홀딩스,007700,657338363,840750686,379068947,496833637,146538919,207595907,486336541,592902646,885117753,803490624,292469459,275790247,433598155,387311612,489800945,594644098,167537418,246106587,118422730,121827383,149153486,146326335,34.21,41.39,258.68,239.33,15400000,15400000
(주)엔씨소프트,036570,3185181621,3972964831,1935418843,2302172053,349981740,402711109,2369748259,2885135625,1525867647,2242430937,0,0,968937380,1373892119,2502644667,3185132880,682536954,787831951,307491685,627523554,474319119,745656952,27.27,24.73,553.01,571.67,21954022,21954022
(주)엘에스,006260,3502957000,3619489000,143311000,178289000,73307000,78609000,2974174000,3060871000,87110000,165747000,0,0,41851000,40886000,3196354000,3310573000,306603000,308916000,51642000,122509000,78337000,78829000,9.59,9.33,195.49,226.8,32200000,32200000
(주)엘지,003550,9577961000,10570840000,826059000,2546281000,156049000,178795000,6003695000,6947881000,874672000,1016202000,0,0,230877000,222179000,9326745000,10269797000,251216000,301043000,581161000,1331351000,591807000,597343000,2.69,2.93,529.36,1424.13,175871808,175871808
(주)엘지상사,001120,2527925654,2610761219,611125954,770389037,655476273,588753583,930735263,1219298670,3080463942,3258240041,2946081531,3151014170,145843671,131619244,1207953763,1369224039,1319971891,1241537180,58886114,295262540,15508383,20381046,109.27,90.67,93.23,130.85,38760000,38760000
(주)엘지생활건강,051900,4093775065,4560931342,1009793904,892925749,793017322,670223105,3151083532,3585018822,4536975744,4418256992,1695356002,1745494125,1982261323,1887153592,3264366905,3793474494,829408160,767456848,622867720,618438771,784442676,728595740,25.41,20.23,127.34,133.23,17717894,17717894
(주)엘지유플러스,032640,16834279000,17253980000,4458406000,4536761000,4047947000,3906705000,3733573000,4018265000,12337746000,12352879000,0,0,11645979000,11514900000,7132682000,7418123000,9701597000,9835857000,445644000,452541000,2253049000,2350492000,136.02,132.59,110.14,116.13,436611361,436611361
(주)엘지하우시스,108670,2168161000,2023506000,772204000,852202000,667276000,709474000,256035000,150203000,2710501000,2596510000,2132173000,1983980000,536287000,538694000,916519000,810585000,1251642000,1212921000,-15324000,-105643000,311322000,397575000,136.56,149.64,115.72,120.12,10000000,10000000
(주)엘지화학,051910,27027086000,25850150000,8349633000,4934284000,4976280000,4908205000,14111594000,13891061000,22312561000,20830009000,18320366000,16483775000,3409770000,3231797000,16460230000,16963505000,10566856000,8886645000,365924000,-98223000,1943151000,5236679000,64.2,52.39,167.79,100.53,78281143,78281143
(주)영원무역,111770,1839140306,1797289419,448333423,512097142,379588106,376362718,462389476,600853141,1358278805,1140634941,1171612631,969100387,67514503,57616593,1288678153,1260807498,550462154,536481921,66801910,59519880,59837965,148007852,42.72,42.55,118.11,136.06,44311468,44311468
(주)영풍,000670,2282953197,2339877607,703273847,727719978,201359418,231319217,1834365237,1861025492,1347979588,1233370463,1246030898,1161444178,51982782,48403478,1820248592,1845566429,462704604,494311177,76098143,46400859,135002592,198077815,25.42,26.78,349.26,314.6,1842040,1842040
(주)오뚜기,007310,1701081587,1905811761,513514945,560392535,410819862,424521402,1133281620,1244408934,2108629851,2305213296,1672323258,1825463287,310201330,324508081,1162504302,1302777658,538577285,603034104,95988847,137758586,142863571,44917876,46.33,46.29,125,132.01,3605237,3671981
(주)오리온,271560,1190809872,1206951233,148580126,163355784,232152474,117448539,129825107,181677808,732834534,769223241,385943779,407572143,239116937,247481008,747178019,808633068,443631853,398318165,76477932,75658937,121293985,131386682,59.37,49.26,64,139.09,39536132,39536132
(주)오리온홀딩스,001800,1930161016,1926893842,6542064,5094850,14736741,20816997,61681315,52101735,28973423,26051792,0,0,11375517,12885434,1892038148,1883560579,38122868,43333263,7965796,13482161,16211429,5333438,2.01,2.3,44.39,24.47,62645422,62645422
(주)우리금융지주,316140,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)유한양행,000100,1931965072,2139879594,998450388,1082161956,310035122,303262661,1463261237,1610750466,1463260524,1567941075,1030489502,1023894042,392410477,428082801,1574109469,1750367144,357855603,389512450,53953369,193309898,37287779,47685774,22.73,22.25,322.04,356.84,13013303,68037750
(주)이노션,214320,945670285,930503172,594439350,578599782,302234096,298655048,494381518,482691703,374540780,324397021,245030968,202426703,107270964,104651167,637230081,625540267,308440204,304962905,38316257,18447274,40630923,12757069,48.4,48.75,196.68,193.74,20000000,20000000
(주)이마트,139480,15251432103,15577108437,1806545883,2067658279,3326974397,3499439062,2906676809,3389014393,13154820006,14213755650,9527689215,10464354734,3375990318,3454431616,8599890923,9118448915,6651541180,6458659523,291146048,560701081,615233027,876779315,77.34,70.83,54.3,59.09,27875819,27875819
(주)제일기획,030000,1226491626,1252632182,809246489,786887090,508925211,502838551,822601209,859594672,1150057693,870684464,847337256,566584744,238989635,226539765,693996129,730255206,532495497,522376976,106467467,118262134,107142880,153833799,76.73,71.53,159.01,156.49,115041225,115041225
(주)종근당,185750,780736005,923716370,468203530,594551494,267682207,310449551,189029034,269245840,1078617770,1300544358,675059109,810917508,326533203,363019050,473520116,548478542,307215889,375237828,53881646,88684543,80837471,107015423,64.88,68.41,174.91,191.51,10370290,10885685
(주)지누스,013890,468555415,553225336,285977229,324962804,167159220,168362495,148515291,224125862,246121950,203704518,163567606,108543081,24972915,29100726,278526046,363487550,190029369,189737786,41411226,83801685,-20876045,16576782,68.23,52.2,171.08,193.01,14206749,14406749
(주)지에스,078930,6172968000,5956881000,25046000,52359000,352032000,120356000,3655076000,3421727000,365336000,306286000,0,0,56304000,64986000,5414240000,5180891000,758728000,775990000,277528000,-53296000,273903000,212901000,14.01,14.98,7.11,43.5,94700204,94700204
(주)지에스리테일,007070,5581930140,5609125811,733163675,848242697,1464479429,1261776734,1959858820,2090240133,8621105977,8569243340,6792417885,6768038417,1648362676,1541448198,2180734736,2317469273,3401195404,3291656538,114283684,182909672,690644968,734322757,155.97,142.04,50.06,67.23,77000000,77000000
(주)카카오,035720,6484360617,7345506485,1014030589,1782401904,1370950262,1421581283,314504188,209149713,1513471073,1779194942,0,0,1317407148,1479130450,4858310828,5325445085,1626049789,2020061399,-259705693,-117878819,533407164,630615477,33.47,37.93,73.97,125.38,86222636,88501998
(주)케이씨씨,002380,9199571692,8765319461,2799493777,2111475986,3113210867,2301595142,4926287192,5588012167,2396603743,2071850766,1835602313,1612415177,421520062,362925222,4439218648,5026290187,4760353044,3739029274,-119231068,705810060,252627367,423402447,107.23,74.39,89.92,91.74,10556513,8886471
(주)케이티,030200,27733854000,28027926000,7236269000,7155734000,6764653000,6607967000,10869987000,11233714000,18204751000,17879281000,0,0,17465529000,17001042000,12896701000,13203557000,14837153000,14824369000,431828000,665493000,2821672000,4416062000,115.05,112.28,106.97,108.29,261111808,261111808
(주)케이티앤지,033780,9112777640,9879543643,4314192740,4708230783,1251513028,1717954707,6670365401,7098124584,2942618858,3435384230,1132135701,1409121175,675917512,689245125,7780083652,8053942190,1332693987,1825601454,891380828,1075309488,770157457,1186128383,17.13,22.67,344.72,274.06,137292497,137292497
(주)태영건설,009410,2849668896,2682875573,1536276045,1710093746,1196258832,1417233846,910787685,1685530418,2175685521,2148138415,1781514392,1820300336,123097996,119433874,1020874698,708025187,1828794198,1974850386,115132526,784633282,-25792955,340217886,179.14,278.92,128.42,120.66,78957480,40201240
(주)포스코,005490,55710766417,56794968502,18216066010,19579953330,3331446367,5089110670,45372411231,45781777466,30373510739,26509920446,26700873690,24323352080,1086277697,1051371801,45614185131,45114704099,10096581286,11680264403,1175712402,965863440,3600955161,5157669864,22.13,25.89,546.79,384.74,87186835,87186835
(주)포스코인터내셔널,047050,7721111383,7205950900,4354171096,3925547955,3024828514,2646442369,1750143276,1867951149,22743722129,19224845261,21771949516,18457485547,403606458,342806208,2909119187,3021713452,4811992196,4184237448,191704149,203975391,1566107029,876520397,165.41,138.47,143.95,148.33,123375149,123375149
(주)포스코케미칼,003670,1620828355,1994121915,625485818,776817441,237044729,203621771,706881872,738490534,1434507299,1524145793,1274012848,1384108053,72930378,79587953,929403552,961012214,691424803,1033109701,89609078,55853976,58835243,28447254,74.39,107.5,263.87,381.5,60988220,60988220
(주)풍산,103140,2277278442,2285966963,880089061,931126110,572822179,559537433,730064834,810397264,1880761562,1944436892,1730798554,1757143547,101282221,91329863,1379266332,1444324258,898012110,841642705,15111280,74466455,179681874,67454593,65.11,58.27,153.64,166.41,28024278,28024000
(주)하나금융지주,086790,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)하이브,352820,273307922,1712946387,196394478,1177102408,104321277,163353911,-58466337,-2959997,416662609,453369548,278758907,281495088,52053351,84924817,156654432,1203842457,116653490,509103930,63867596,55506340,55023815,76085853,74.47,42.29,188.26,720.58,1669762,35623760
(주)한샘,009240,1024229197,1051457043,374491356,416660091,302294243,332669507,678470515,708015716,1605551061,1723926567,1159121251,1223512815,377370774,401325663,585054421,584526824,439174776,466930219,41343472,49883809,88214465,192960701,75.07,79.88,123.88,125.25,23533928,23533928
(주)한섬,020000,1322203768,1436575223,718505904,813881920,215434860,230277358,941070295,1017968295,994560576,1194779636,421442498,489460159,477369342,600484949,1046723299,1126492408,275480469,310082815,75601722,86495695,129920354,151983168,26.32,27.53,333.51,353.44,24630000,24630000
(주)한솔케미칼,014680,744955631,797304139,225314615,225858107,145648944,121442014,330684682,412457947,401866639,457470879,269889669,289858653,36772073,42478463,409088905,496381732,335866727,300922406,72843779,105104428,73535818,133438529,82.1,60.62,154.7,185.98,11295195,11295195
(주)한진칼,180640,1907568534,3021178322,197787916,923427032,203590812,605487797,184063523,162388353,65099543,41685803,0,0,16493408,22592186,1530250081,2010471827,377318453,1010706495,30675556,-3415383,50669986,23093946,24.66,50.27,97.15,152.51,59707224,66799276
(주)한화,000880,7931295046,7362795242,2190050694,1630127792,2905783310,2121119209,2371506538,2439616434,4433163051,4000774861,3936392568,3510979721,307821699,322835428,3423948285,3492463654,4507346761,3870331588,100269854,128678023,199411029,355615006,131.64,110.82,75.37,76.85,97910029,97910029
(주)현대그린푸드,005440,1695521102,1760240732,416472452,453944872,172308724,202240981,836631062,855193149,1542730568,1512503414,1278247514,1263355562,197433060,204026795,1366070494,1398631201,329450608,361609531,61645526,37705777,78396922,42789620,24.12,25.85,241.7,224.46,97704482,97704482
(주)현대미포조선,010620,3392554837,3553619018,1889219369,1942434340,1055004056,1198176099,1818146421,1766641908,2999488385,2780781151,2851099458,2686886113,90886346,87315575,2321314172,2323298298,1071240665,1230320720,43103306,-31072186,-84227887,234829699,46.15,52.96,179.07,162.12,39942149,39942149
(주)현대백화점,069960,5795560155,6435678005,885526092,1226719724,1063549523,1699904888,3134492765,3212887544,1385243797,1245062784,250874348,246752651,892991617,889566199,3831705742,3889472232,1963854413,2546205773,195656742,101898547,358548559,261738099,51.25,65.46,83.26,72.16,23402441,23402441
(주)현대홈쇼핑,057050,1697081648,1851770065,479414085,669510018,239594846,374438463,1167302931,1208587912,1030416793,1084990445,278992154,314284903,600994386,614977183,1449467805,1473426716,247613842,378343349,58833557,64280075,82813117,159083050,17.08,25.68,200.09,178.8,12000000,12000000
(주)호텔신라,008770,3071696462,2441131787,1435616025,932489148,1239023498,628619537,688439046,384580191,4567737437,2814422846,0,0,4283309467,2990437780,980520566,676661712,2091175896,1764470075,134734038,-302061222,364728220,-66256505,213.27,260.76,115.87,148.34,40000000,40000000
(주)화승엔터프라이즈,241590,240826504,388610384,72873922,214547554,36032782,35643357,7984067,5674620,8160827,3950636,0,0,2228907,2865703,204707861,352874208,36118643,35736176,6098777,434969,-3691816,2356391,17.64,10.13,202.24,601.93,60536670,60536670
