회사명,거래소코드,회계년도,자산(*)(천원),* 발행한 주식총수(*)(IFRS)(천원),* 주당 액면가액(IFRS)(천원),상장폐지일
(주)DB하이텍,000990,2011/12,1183957429,42923284,5000,
(주)DB하이텍,000990,2012/12,1149069244,44511167,5000,
(주)DB하이텍,000990,2013/12,1049494642,44511167,5000,
(주)DB하이텍,000990,2014/12,1001959816,44511167,5000,
(주)DB하이텍,000990,2015/12,1005673854,44511167,5000,
(주)DB하이텍,000990,2016/12,1006370876,44511167,5000,
(주)DB하이텍,000990,2017/12,977575054,44511167,5000,
(주)DB하이텍,000990,2018/12,1050696487,44511167,5000,
(주)DB하이텍,000990,2019/12,1089400761,44511167,5000,
(주)DB하이텍,000990,2020/12,1179256936,44511167,5000,
(주)MH에탄올,023150,2011/12,135927085,7000000,500,
(주)MH에탄올,023150,2012/12,139200817,7000000,500,
(주)MH에탄올,023150,2013/12,122520742,7000000,500,
(주)MH에탄올,023150,2014/12,85253876,7378526,500,
(주)MH에탄올,023150,2015/12,78691328,7378526,500,
(주)MH에탄올,023150,2016/12,72025138,7378526,500,
(주)MH에탄올,023150,2017/12,107437079,7378526,500,
(주)MH에탄올,023150,2018/12,109656889,7378526,500,
(주)MH에탄올,023150,2019/12,101058662,7378526,500,
(주)MH에탄올,023150,2020/12,97515830,7378526,500,
(주)SH에너지화학,002360,2011/12,102383199,111479950,500,
(주)SH에너지화학,002360,2012/12,102492810,111139950,500,
(주)SH에너지화학,002360,2013/12,109984767,111139950,500,
(주)SH에너지화학,002360,2014/12,109098264,111139950,500,
(주)SH에너지화학,002360,2015/12,114048206,111139950,500,
(주)SH에너지화학,002360,2016/12,122956894,111139950,500,
(주)SH에너지화학,002360,2017/12,123261552,111139950,500,
(주)SH에너지화학,002360,2018/12,120895795,111139950,500,
(주)SH에너지화학,002360,2019/12,121126250,111139950,500,
(주)SH에너지화학,002360,2020/12,116570206,111139950,500,
(주)SIMPAC,009160,2011/12,296953131,29084925,500,
(주)SIMPAC,009160,2012/12,307366684,29084925,500,
(주)SIMPAC,009160,2013/12,349836891,29084925,500,
(주)SIMPAC,009160,2014/12,329325876,29084925,500,
(주)SIMPAC,009160,2015/12,369348917,29084925,500,
(주)SIMPAC,009160,2016/12,366245273,29084925,500,
(주)SIMPAC,009160,2017/12,343005145,29084925,500,
(주)SIMPAC,009160,2018/12,628334175,65429516,500,
(주)SIMPAC,009160,2019/12,608693104,65429516,500,
(주)SIMPAC,009160,2020/12,656622388,65429516,500,
(주)SNT에너지,100840,2011/12,276511841,7084612,500,
(주)SNT에너지,100840,2012/12,292802033,7084612,500,
(주)SNT에너지,100840,2013/12,311675279,7084612,500,
(주)SNT에너지,100840,2014/12,304511816,7084612,500,
